18:31:33.692 INFO  web.backend.BackendApplication - test=test
18:31:33.695 ERROR web.backend.BackendApplication - error=error
18:31:34.354 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
18:31:34.358 INFO  web.backend.BackendApplication - Starting BackendApplication using Java 17.0.4.1 on jeong-gyeongsuui-MacBookPro.local with PID 27049 (/Users/soo/Desktop/backend/build/classes/java/main started by soo in /Users/soo/Desktop/backend)
18:31:34.362 INFO  web.backend.BackendApplication - The following 1 profile is active: "local"
18:31:35.679 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:31:35.721 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 JPA repository interfaces.
18:31:36.731 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
18:31:36.742 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
18:31:36.743 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:31:36.743 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
18:31:36.875 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:31:36.875 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2432 ms
18:31:37.141 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18:31:37.177 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
18:31:37.313 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
18:31:37.396 WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - idleTimeout is close to or more than maxLifetime, disabling it.
18:31:37.396 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:31:37.582 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:31:37.607 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
18:31:37.869 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
18:31:37.882 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
18:31:38.039 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
18:31:38.459 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
18:31:38.483 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
18:31:38.496 INFO  web.backend.BackendApplication - Started BackendApplication in 4.659 seconds (JVM running for 5.342)
18:33:12.577 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
18:33:12.581 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
18:33:12.782 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
